Dataset-Quantity-metrics,Anomaly Transformer,AE,DAGMM,DCdetector,DLinear,DeepPoint,DualTF,Isolation Forest,LSTM,ModernTCN,NLinear,PatchTST,TimesNet,TranAD,VAE,HBOS,iTransformer,KNN,LODA,LOF,OCSVM,PCA,GPT4TS,Moment,Timer,TTM,UniTS,UniTime
Machinery/Genesis-96-R-P,0.005273152,0.047244094,0.047794118,0.016393443,0.058823529,2.60E-05,0.030455154,0.00591716,,0.019323671,0.013157895,0.066666667,0.085714286,0.095238095,,0.002436466,0.056818182,0.001713059,0.001272265,0.001843108,0.002526022,0.035185185,0.008810573,0.009950249,0.011627907,0.036036036,0.044117647,0.00990099
Machinery/Genesis-96-R-R,0.854545455,0.355710956,0.155710956,0.078787879,0.17995338,1,0.55011655,0.076923077,,0.173892774,0.161771562,0.385081585,0.210722611,0.513286713,,0.860606061,0.507226107,1,0.078787879,1,1,0.324941725,0.255477855,0.082051282,0.117948718,0.523543124,0.17995338,0.082051282
Machinery/Genesis-96-V-PR,0.094809642,0.046665534,0.099471877,0.01199502,0.016295812,0.011285313,0.097468154,0.010095497,0.00913989,0.01414503,0.013595847,0.013122557,0.036654707,0.038107648,0.009309854,0.087481195,0.020404899,0.649430559,0.010494342,0.573995666,0.505633229,0.014632751,0.016884025,0.005192312,0.005360796,0.011417107,0.01474038,0.005693192
Machinery/Genesis-96-V-ROC,0.970072713,0.916085633,0.935046446,0.72986385,0.734961852,0.66107182,0.970676404,0.660420996,0.72384241,0.739854895,0.786863386,0.727619002,0.913278887,0.89888361,0.713060915,0.827049775,0.773253208,0.965562152,0.728159277,0.971757904,0.73346009,0.816164712,0.784326368,0.201308045,0.23753676,0.724529193,0.71025317,0.212319215
Machinery/SKAB-96-A-P,0.364470334,0.743647097,0.426250491,0.361152084,0.44336065,0.37447137,0.411571354,0.404054437,0.639177243,0.455085631,0.436469867,0.449144169,0.465008005,0.767922263,0.640119042,0.444990308,0.43274451,0.771213963,0.435973487,0.572673168,0.409453572,0.803185424,0.422035702,0.447028958,0.387519571,0.46195586,0.448595928,0.440806407
Machinery/SKAB-96-A-R,0.51279768,0.825353515,0.56227064,0.522190042,0.592937286,0.517059345,0.575513661,0.544312193,0.744474745,0.598316376,0.582942055,0.596596335,0.62023233,0.836929277,0.744610111,0.56720958,0.584108016,0.838919033,0.567898855,0.710877971,0.553138129,0.858698017,0.566619986,0.572284119,0.297108491,0.598994147,0.596056094,0.570364465
Machinery/SKAB-96-Acc,0.65062712,0.566817526,0.576586523,0.648856441,0.663091414,0.479304515,0.643359978,0.651553166,0.56626147,0.668437787,0.644844274,0.660839404,0.662194934,0.747941083,0.573003798,0.381666941,0.656206533,0.376783181,0.400741732,0.373513674,0.374427686,0.397653453,0.657040514,0.626491966,0.630265101,0.653319229,0.663323617,0.635206215
Machinery/SKAB-96-Aff-F1,0.768723652,0.735756408,0.744584607,0.787897506,0.837034503,0.730590891,0.760322084,0.7867546,0.734118773,0.857476871,0.820606946,0.843002173,0.86878913,0.944829805,0.743246039,0.729041854,0.845176517,0.72926371,0.736870404,0.727647251,0.717306347,0.735643154,0.828931118,0.775193941,0.744838498,0.815779695,0.827421301,0.783470886
Machinery/SKAB-96-Aff-P,0.651911209,0.586425536,0.603758164,0.682745103,0.787081786,0.651651719,0.688173045,0.749821306,0.583764033,0.816999205,0.747252542,0.801882414,0.827092307,0.932960887,0.599830303,0.575866773,0.812691971,0.575770699,0.587269101,0.573601825,0.559985667,0.585891238,0.789014099,0.687033244,0.749289267,0.726914556,0.769387675,0.711105569
Machinery/SKAB-96-Aff-R,0.951384308,0.998702275,0.994355761,0.949457331,0.930970349,0.907712598,0.888165551,0.869051356,0.99911758,0.936186346,0.94426739,0.919936852,0.938957671,0.969104919,0.997442773,0.999910314,0.912694112,0.99992639,0.999868055,0.99999314,0.9986893,0.999616753,0.919911827,0.932198156,0.80289362,0.961090491,0.93878742,0.919585007
Machinery/SKAB-96-F1,0.067613341,0.342619971,0.346385107,0.09361299,0.174498048,0.282099065,0.084400297,0.04770466,0.343530503,0.147652891,0.13191556,0.127245094,0.161004306,0.504015855,0.345528738,0.5267851,0.10450467,0.516531267,0.522381929,0.528069522,0.485224496,0.538322153,0.136582064,0.205040007,0.129426167,0.217787588,0.176980184,0.148755133
Machinery/SKAB-96-P,0.44237739,0.378718396,0.40862538,0.53533943,0.656824864,0.456611764,0.473256606,0.605463497,0.377901859,0.713933729,0.592504155,0.668256571,0.719124255,0.883879362,0.398980761,0.365465478,0.681027368,0.367865987,0.383681095,0.365539384,0.341254867,0.379392542,0.67626712,0.468143619,0.619365436,0.600282749,0.644792176,0.526590343
Machinery/SKAB-96-R,0.039999247,0.325057728,0.322850839,0.05594917,0.129795395,0.537211374,0.053436851,0.027483967,0.326006859,0.102191366,0.08761634,0.086070765,0.119075412,0.438410403,0.323986153,0.979137966,0.07200779,0.959355577,0.935135504,0.991963798,0.918238413,0.980552121,0.094402308,0.170695495,0.090884495,0.190221274,0.130765008,0.114117611
Machinery/SKAB-96-R-A-P,0.638485101,0.858116709,0.82094908,0.642088602,0.677121321,0.632066441,0.736179571,0.648223016,0.797401129,0.668855931,0.679061372,0.681187851,0.69607129,0.86239863,0.796006689,0.671007769,0.670518084,0.854612697,0.664188354,0.750139925,0.789487249,0.875681286,0.648682882,0.684124615,0.539758506,0.666827272,0.66392438,0.682043598
Machinery/SKAB-96-R-A-R,0.646624392,0.877404232,0.68460883,0.647288936,0.749047283,0.719079528,0.80540259,0.730869959,0.83098404,0.740240292,0.748388548,0.752477924,0.765590797,0.880507833,0.829714954,0.745051076,0.744730953,0.876474791,0.73588377,0.812327104,0.680784507,0.885736941,0.724590547,0.721277186,0.510568623,0.738909102,0.737900867,0.717860953
Machinery/SKAB-96-R-F1,0.26748462,0.258644586,0.261576456,0.281277457,0.304752364,0.385046385,0.279749487,0.284042676,0.259044339,0.305304565,0.293180208,0.296950175,0.310489419,0.337883878,0.259221254,0.462444728,0.303240911,0.476472166,0.422588151,0.477227217,0.469119407,0.480132673,0.29987639,0.256781575,0.29325764,0.298112092,0.300747254,0.278611793
Machinery/SKAB-96-R-P,0.412077083,0.378718396,0.40862538,0.502981807,0.636022268,0.453954008,0.507773376,0.605463497,0.377901859,0.692681113,0.591462045,0.667228317,0.707512677,0.83512605,0.398980761,0.320791613,0.677870096,0.348234352,0.329646914,0.330054588,0.329847493,0.328092011,0.664264256,0.509899269,0.616112673,0.586483051,0.632926626,0.58246635
Machinery/SKAB-96-R-R,0.20335756,0.202148021,0.202148021,0.205583463,0.209396977,0.600815603,0.20846446,0.196207138,0.202148021,0.204869113,0.202918823,0.197683875,0.204697833,0.266871203,0.202148021,0.964667256,0.202815714,0.907326945,0.82004611,0.933807308,0.906472802,0.97577143,0.203192181,0.186702551,0.217886375,0.208250537,0.206956291,0.1915136
Machinery/SKAB-96-V-PR,0.616039506,0.844608018,0.81012819,0.628264206,0.65986515,0.609252353,0.683065911,0.627101713,0.779097001,0.656758732,0.661828444,0.666530711,0.681489179,0.852996789,0.778831176,0.650774093,0.65619361,0.847052621,0.64369279,0.732705143,0.776428753,0.868302205,0.635111555,0.668817547,0.529269175,0.658059328,0.652562503,0.665086514
Machinery/SKAB-96-V-ROC,0.640809454,0.8743576,0.678564646,0.643347903,0.740527649,0.701375471,0.771310309,0.715318368,0.824020403,0.737017129,0.740886847,0.746193105,0.760827035,0.879187854,0.823381764,0.729296322,0.739007699,0.875433782,0.721238822,0.804424501,0.674664039,0.886515208,0.718886138,0.721193771,0.507890209,0.739508559,0.735347536,0.71766027
Movement/Daphnet-96-A-P,0.086744591,0.139748331,0.107627226,0.085698159,0.192243093,0.208766712,0.152366338,0.212831782,0.155475892,0.183918705,0.18438685,0.198846216,0.214829998,0.155539172,0.144135114,0.141950277,0.204038944,0.129974248,0.087351554,0.077995266,0.085675638,0.154431899,0.195877554,0.171129253,0.160877591,0.178255282,0.183008052,0.198682023
Movement/Daphnet-96-A-R,0.490070042,0.522075937,0.515143363,0.501152205,0.727740353,0.763209682,0.627503008,0.760936172,0.555192684,0.715471549,0.714497024,0.741301752,0.754078011,0.569214834,0.529243567,0.563906998,0.746298612,0.523614075,0.481610011,0.452628965,0.501125779,0.550523579,0.734134289,0.690952504,0.675736417,0.706559674,0.715783803,0.738736033
Movement/Daphnet-96-Acc,0.885426426,0.863513657,0.405365217,0.903338552,0.859979326,0.58208857,0.843947952,0.90449816,0.868991393,0.839990848,0.872495857,0.848718276,0.852649916,0.85841053,0.869937174,0.667638331,0.867489066,0.28011939,0.738173698,0.272587086,0.085470186,0.663582615,0.839933604,0.894318782,0.890196818,0.838978948,0.840961497,0.895927995
Movement/Daphnet-96-Aff-F1,0.734521475,0.717639212,0.675779868,0.726061187,0.773103019,0.734192408,0.666699802,0.760648979,0.678190088,0.771250397,0.764936748,0.779037447,0.783900326,0.759771405,0.691896362,0.720312431,0.784305153,0.698927322,0.716608776,0.724956317,0.711981998,0.705675762,0.781915997,0.759508669,0.765029937,0.772721544,0.771348827,0.7634112
Movement/Daphnet-96-Aff-P,0.602467661,0.622711647,0.577974577,0.601709174,0.663932401,0.584377286,0.62339475,0.647317704,0.627564515,0.667019644,0.66002268,0.674500411,0.68374956,0.64029416,0.649944523,0.577643026,0.694009733,0.540781798,0.594088365,0.56927374,0.553428658,0.580232501,0.685421276,0.659282499,0.670445579,0.663250554,0.662706729,0.671053732
Movement/Daphnet-96-Aff-R,0.945167058,0.880043539,0.895523481,0.928578877,0.935405148,0.995586813,0.836905539,0.925484293,0.815091891,0.930944463,0.92216729,0.936689776,0.931365126,0.944853525,0.806553366,0.963523242,0.918973419,0.994745358,0.916507937,0.998778502,1,0.909881867,0.929410032,0.909847536,0.907603947,0.943927865,0.939359709,0.900276512
Movement/Daphnet-96-F1,0.032755611,0.076801492,0.097184874,0.024573382,0.167889182,0.180768285,0.152753151,0.082673085,0.064264651,0.138971615,0.168065907,0.154615166,0.151420436,0.153033495,0.058392839,0.147489823,0.130367881,0.130765112,0.07471941,0.140365692,0.154377245,0.145422789,0.156004182,0.0996149,0.098335878,0.147425529,0.149369742,0.09594025
Movement/Daphnet-96-P,0.105804924,0.148195522,0.102106138,0.090549215,0.231090694,0.171323378,0.144897636,0.223478001,0.163726925,0.224947625,0.205465523,0.231724976,0.240541005,0.190703436,0.177694837,0.111427611,0.218049365,0.073950788,0.090226491,0.078961928,0.085467695,0.105614985,0.242026987,0.191591205,0.198822352,0.22847193,0.229765256,0.194873496
Movement/Daphnet-96-R,0.026791393,0.096074183,0.593583242,0.014667659,0.218394021,0.484785993,0.194388528,0.062627806,0.076922307,0.200572056,0.201676771,0.233542714,0.218404479,0.206585724,0.072486369,0.382961477,0.192447796,0.680749977,0.195756054,0.750021074,1,0.39712024,0.245271445,0.119882001,0.115899902,0.219249,0.209448682,0.10323792
Movement/Daphnet-96-R-A-P,0.130855732,0.231190073,0.385819889,0.143657233,0.310628526,0.330664132,0.225675558,0.341362731,0.248827089,0.296649724,0.297651782,0.31850791,0.334630698,0.259708518,0.237198554,0.226475258,0.319510702,0.210412366,0.149444187,0.122547889,0.571801994,0.247178721,0.314361765,0.275170175,0.258492265,0.292880098,0.296547588,0.314789543
Movement/Daphnet-96-R-A-R,0.512696577,0.620201037,0.583551819,0.523896471,0.810881819,0.845206989,0.724467773,0.84468074,0.645281924,0.796912715,0.796888892,0.821008875,0.830142754,0.667904278,0.631957115,0.65139733,0.826607984,0.617378292,0.592671118,0.542502357,0.518257602,0.640315044,0.814458939,0.772184914,0.758019894,0.795304857,0.797653809,0.815952519
Movement/Daphnet-96-R-F1,0.126099595,0.135049903,0.063262689,0.117822044,0.179668205,0.139722717,0.134759614,0.181881165,0.132366347,0.18516293,0.175075732,0.187248518,0.186633394,0.190634199,0.136203015,0.124012531,0.168384946,0.146329349,0.140465176,0.127757194,0.015711614,0.109362222,0.195498182,0.155210444,0.170061483,0.190236191,0.190566947,0.159359271
Movement/Daphnet-96-R-P,0.113048312,0.148195522,0.071612426,0.090128611,0.21587742,0.153084498,0.122444431,0.223478001,0.163726925,0.238606998,0.201129648,0.228442945,0.231787052,0.224556254,0.177694837,0.126702042,0.202244465,0.127118556,0.154734569,0.12850196,0.007931058,0.112766253,0.243584952,0.185910238,0.220525401,0.233190427,0.236960656,0.201551303
Movement/Daphnet-96-R-R,0.185358241,0.164368487,0.629308653,0.18344555,0.177627624,0.411061892,0.182732273,0.17676804,0.146767209,0.176632573,0.182114694,0.190903668,0.183649701,0.191093556,0.14542713,0.32665929,0.18865807,0.484384384,0.2936575,0.433526625,1,0.413060416,0.196612853,0.168210412,0.17405599,0.189128683,0.183792029,0.163780156
Movement/Daphnet-96-V-PR,0.128005616,0.222886801,0.380680922,0.139706067,0.301034689,0.320569011,0.22116444,0.330685121,0.240799281,0.287486404,0.288439829,0.308868568,0.324536775,0.250636061,0.229340687,0.218804234,0.309806972,0.203380705,0.145115124,0.119116681,0.569961175,0.238744213,0.304833128,0.266452933,0.250553751,0.283424561,0.287224073,0.305044018
Movement/Daphnet-96-V-ROC,0.511347549,0.609600893,0.577164946,0.522032967,0.803079323,0.837411033,0.712968106,0.836606234,0.636320794,0.78922567,0.788665504,0.813300232,0.822561226,0.657990252,0.621472432,0.641572213,0.818481245,0.607403947,0.580823716,0.532480997,0.517293009,0.630191398,0.806935639,0.764486068,0.750279663,0.786750381,0.789939568,0.808441315
Server Machine/PSM-96-A-P,0.297607342,0.551526525,0.415777882,0.283155266,0.371470465,0.330360453,0.507430358,0.334098583,0.584381674,0.38458305,0.37607112,0.378181601,0.391467621,0.492947023,0.416840999,0.533991931,0.383190335,0.552919986,0.424271447,0.558547805,0.4179504,0.468805131,0.37567093,0.331609249,0.358896422,0.429459833,0.380128207,0.37683074
Server Machine/PSM-96-A-R,0.513698718,0.765299053,0.63746316,0.514868143,0.579809351,0.538515252,0.747701136,0.542354545,0.770375203,0.592610405,0.584601201,0.5862177,0.591750616,0.631106962,0.642330644,0.773171927,0.592123782,0.744321852,0.595924972,0.746795168,0.619210701,0.671720127,0.580053576,0.545236892,0.555912316,0.623203592,0.581757935,0.579463785
Server Machine/PSM-96-Acc,0.718867044,0.714711809,0.714973646,0.613688369,0.725720336,0.2775697,0.696542617,0.723204426,0.736558099,0.728634692,0.728247629,0.728577771,0.726494462,0.721883858,0.723921631,0.736148268,0.727780877,0.282328298,0.709167701,0.278582894,0.736854089,0.682152981,0.729249439,0.714267825,0.727040903,0.737787593,0.729875571,0.727223051
Server Machine/PSM-96-Aff-F1,0.710320628,0.706923327,0.462786695,0.692122466,0.830863351,0.694283157,0.724746799,0.620460702,0.709765807,0.825077759,0.842889062,0.830790684,0.841576354,0.746494338,0.295392638,0.65826951,0.853756059,0.694631325,0.719688724,0.69416105,0.530673423,0.701995987,0.809862457,0.779967136,0.756303871,0.794901297,0.803234843,0.793712098
Server Machine/PSM-96-Aff-P,0.599896664,0.776343968,0.506630426,0.5462593,0.777138539,0.531725665,0.621841358,0.904265288,0.805633139,0.734413722,0.762479932,0.739354154,0.762412869,0.756522308,1,0.621156602,0.765120558,0.532134207,0.649607816,0.531582923,0.651948897,0.712231216,0.710949392,0.682713913,0.676610084,0.676975331,0.742472202,0.676081552
Server Machine/PSM-96-Aff-R,0.870567398,0.648898824,0.425927027,0.944260701,0.892567983,1,0.868464714,0.472245856,0.634287915,0.941279572,0.94225701,0.948034937,0.939084113,0.736728738,0.17329072,0.700099077,0.965618244,1,0.80671909,0.999998276,0.44744057,0.692050765,0.940746809,0.909530604,0.857277358,0.962577911,0.874829365,0.960897378
Server Machine/PSM-96-F1,0.046340992,0.175712124,0.007452924,0.25976179,0.047443957,0.434517604,0.505637982,0.007267679,0.162498643,0.088555806,0.087325559,0.088120554,0.088131476,0.402981427,0.010607482,0.388872775,0.105491546,0.436142143,0.383056823,0.43481208,0.386560866,0.423854726,0.089088054,0.116823252,0.143035848,0.212843033,0.083931743,0.097003957
Server Machine/PSM-96-P,0.396301189,0.443614018,0.111374408,0.277433484,0.657894737,0.277561475,0.461491587,0.801801802,0.690769231,0.653498871,0.643742954,0.652691218,0.590539166,0.498518653,1,0.544447726,0.599744789,0.278888609,0.465762274,0.277817668,0.547593985,0.426512729,0.673032407,0.411094601,0.556142301,0.638114754,0.714661407,0.597493036
Server Machine/PSM-96-R,0.024609327,0.10955252,0.003855461,0.244206554,0.024609327,1,0.559123908,0.003650383,0.092079898,0.047496001,0.046839752,0.047249908,0.047619048,0.338173168,0.005332021,0.302448628,0.057831918,1,0.325294287,0.999794922,0.298716213,0.421229646,0.047701079,0.068085805,0.082072105,0.127722407,0.044583897,0.052787006
Server Machine/PSM-96-R-A-P,0.292728682,0.504349583,0.403665208,0.292418771,0.37239619,0.331256142,0.450941443,0.333882146,0.523077105,0.383217388,0.378206456,0.378996131,0.394620488,0.431275992,0.392740702,0.499009036,0.386383935,0.453942249,0.384820183,0.467494563,0.368590897,0.385710494,0.373671755,0.328801912,0.349956538,0.420311827,0.376144149,0.376435912
Server Machine/PSM-96-R-A-R,0.452764146,0.717131369,0.606951746,0.440348979,0.578573167,0.540378567,0.648615741,0.543226602,0.698313394,0.587688791,0.585388218,0.585769702,0.5928869,0.56567707,0.58562896,0.704896605,0.58943641,0.66561012,0.539743818,0.67603648,0.529906658,0.509197608,0.575552899,0.539738105,0.541857386,0.604064438,0.572154285,0.57843637
Server Machine/PSM-96-R-F1,0.196702002,0.30261918,0.053345287,0.269378539,0.474319726,0.007680433,0.432001458,0.237083955,0.372207531,0.447651598,0.445900316,0.444382616,0.492853615,0.455521501,0.118860033,0.337968196,0.49948603,0.002198385,0.338631428,0.08865715,0.198229399,0.480932943,0.45139154,0.37049265,0.413263091,0.439622589,0.41648993,0.417303013
Server Machine/PSM-96-R-P,0.373745174,0.443614018,0.111374408,0.274666053,0.583773928,0.00385502,0.456180293,0.801801802,0.690769231,0.552877496,0.587240685,0.557225903,0.537464086,0.580672479,1,0.467099053,0.533064069,0.001100402,0.3507922,0.046419064,0.385360273,0.459094979,0.540530333,0.369503089,0.482658416,0.531561586,0.606219204,0.489666074
Server Machine/PSM-96-R-R,0.133474908,0.229634069,0.035071877,0.264290757,0.399429101,1,0.410256703,0.139108386,0.254732618,0.376075396,0.359398321,0.369546172,0.45508108,0.374752066,0.063185109,0.264771394,0.469887522,1,0.327285551,0.9843107,0.133433916,0.504952219,0.387490524,0.371487526,0.361314296,0.374797534,0.31721173,0.363573906
Server Machine/PSM-96-V-PR,0.292931148,0.504496161,0.404306362,0.292804965,0.373369775,0.331308326,0.451974931,0.334085921,0.523232674,0.384475707,0.37895134,0.379558294,0.395465139,0.431097875,0.393201351,0.500708581,0.387091205,0.455519181,0.384754111,0.46867586,0.369667659,0.387036115,0.37441775,0.329333108,0.350400899,0.421672058,0.377408871,0.37710966
Server Machine/PSM-96-V-ROC,0.451141859,0.717957425,0.607514364,0.440937876,0.57937455,0.538383376,0.649555437,0.541700928,0.699141842,0.588923277,0.585057051,0.585367052,0.593490553,0.566421292,0.586161815,0.708324076,0.588116976,0.666608475,0.53748187,0.677810609,0.531606844,0.512124559,0.575541115,0.539869262,0.541128855,0.606754382,0.573557563,0.578729538
Server Machine/SMD-96-A-P,0.045346308,0.187914659,0.044746754,0.042212014,0.138787938,0.124216166,0.068628845,0.121764308,0.124627591,0.140061402,0.141434832,0.146571118,0.174916865,0.102345483,0.114104369,0.145346431,0.145970298,0.190818708,0.111631432,0.067032184,0.103528445,0.127547329,0.120149161,0.130404762,0.127867883,0.115845415,0.135734213,0.128094419
Server Machine/SMD-96-A-R,0.511733399,0.773571519,0.527406893,0.505130008,0.727525369,0.67190783,0.630589516,0.664394527,0.674706745,0.726864973,0.738313336,0.735650165,0.765719466,0.601902006,0.6412158,0.625688947,0.745427375,0.715775283,0.629453226,0.645415584,0.602249858,0.678836014,0.689907087,0.700586392,0.691390245,0.64695398,0.720226546,0.726982636
Server Machine/SMD-96-Acc,0.95299681,0.958603653,0.958421558,0.728501454,0.942577849,0.041564326,0.862928771,0.958267694,0.957096073,0.930545439,0.942918043,0.933883854,0.940874058,0.939976285,0.958487903,0.841433048,0.914281076,0.45916829,0.877207024,0.309454843,0.865310127,0.860465543,0.910423195,0.93289574,0.932418622,0.942195308,0.932643065,0.932655769
Server Machine/SMD-96-Aff-F1,0.741050706,0.438963607,0.023226088,0.675253361,0.841127001,0.674330803,0.678931989,0.625686583,0.487141855,0.840133372,0.843935269,0.844895263,0.835648138,0.786512876,0.450421035,0.628530369,0.827044568,0.696080114,0.73484141,0.682118246,0.742328367,0.738187741,0.816104857,0.799379242,0.808492838,0.765770262,0.832555969,0.819675328
Server Machine/SMD-96-Aff-P,0.61046493,0.888644687,0.483069932,0.510050725,0.761130581,0.508672001,0.526502672,0.800914066,0.879408433,0.754580395,0.761904904,0.748477541,0.77263922,0.778741525,0.877731527,0.556602428,0.736346508,0.533961802,0.643107687,0.51767422,0.649314573,0.680092296,0.712634501,0.725916748,0.736414878,0.68587309,0.754869112,0.716386886
Server Machine/SMD-96-Aff-R,0.942707061,0.291470647,0.011899099,0.998739671,0.939913924,1,0.955586654,0.513369384,0.336875893,0.947566802,0.945760404,0.969826863,0.909846331,0.794440897,0.302939474,0.72180719,0.943224414,0.999560842,0.857099158,0.999673973,0.866446074,0.80713559,0.954725392,0.889384623,0.896211151,0.866736119,0.928067416,0.957765694
Server Machine/SMD-96-F1,0.030738779,0.013588967,,0.07060745,0.151937791,0.079808853,0.134622583,0.038944152,0.020938023,0.147896715,0.155041999,0.17854011,0.163517993,0.153150641,0.020843045,0.148251494,0.197958079,0.112276816,0.15525797,0.095414907,0.15794908,0.176292654,0.171198704,0.166204792,0.173068951,0.153680817,0.162374708,0.154982465
Server Machine/SMD-96-P,0.107535642,0.706293706,,0.041159868,0.196728392,0.041562973,0.09125728,0.45447648,0.203125,0.150888724,0.201477137,0.184594183,0.198448861,0.185140601,0.530508475,0.095431472,0.161965895,0.060248663,0.108713095,0.050454481,0.106699574,0.116805247,0.139085777,0.171853464,0.17608604,0.196283391,0.168041275,0.161953061
Server Machine/SMD-96-R,0.017932346,0.006860481,,0.248132047,0.123760359,1,0.256520853,0.020343703,0.011037902,0.145021057,0.126001902,0.172870534,0.139043608,0.130586877,0.010630349,0.332020106,0.254517049,0.822884119,0.271498438,0.876239641,0.30393289,0.359258253,0.222592039,0.160915636,0.170153512,0.126273604,0.157077843,0.148587148
Server Machine/SMD-96-R-A-P,0.05218344,0.181543694,0.289092228,0.045487972,0.144549813,0.123591946,0.069892274,0.099282423,0.114983407,0.14013879,0.145308534,0.152019483,0.167413619,0.094793007,0.098041398,0.087750643,0.145072317,0.133642883,0.086588871,0.068944768,0.080394321,0.109014581,0.107334219,0.124714542,0.121981413,0.109953004,0.134610866,0.129704187
Server Machine/SMD-96-R-A-R,0.510332536,0.782723078,0.529348957,0.50981029,0.753812118,0.688169065,0.594373362,0.678682054,0.687637343,0.744637573,0.761829584,0.759697701,0.783930441,0.610185695,0.641178355,0.597300578,0.762412634,0.716799214,0.610483601,0.624026745,0.578567861,0.655633923,0.712281376,0.713420343,0.700859912,0.661547024,0.737601554,0.746677266
Server Machine/SMD-96-R-F1,0.142206869,0.142807211,,0.07280199,0.188838146,0.000254175,0.08529238,0.191876499,0.128260993,0.147664417,0.195642109,0.188855961,0.181469252,0.209268389,0.147290613,0.102704471,0.174820639,0.073887991,0.122522542,0.061181015,0.110545881,0.18826849,0.146631074,0.151813718,0.157039736,0.202095483,0.13311757,0.169744916
Server Machine/SMD-96-R-P,0.104673093,0.706293706,,0.041766748,0.123612253,0.000127104,0.05526176,0.45447648,0.203125,0.091773015,0.131207802,0.121310802,0.121795937,0.163093755,0.530508475,0.062106567,0.115388574,0.038834485,0.076175502,0.031967134,0.066672054,0.122753637,0.09015047,0.099247435,0.102335116,0.155090073,0.081432516,0.109643197
Server Machine/SMD-96-R-R,0.221706644,0.07943409,,0.2833435,0.399797291,1,0.186809126,0.121609564,0.093719584,0.377675565,0.38443054,0.426113528,0.355783722,0.291914333,0.085516763,0.296560598,0.360499686,0.758904748,0.312896334,0.710353197,0.323284836,0.403758442,0.3926021,0.322766709,0.337403163,0.289985668,0.364404151,0.375672581
Server Machine/SMD-96-V-PR,0.052028757,0.18138403,0.288563453,0.045693311,0.143664915,0.123572048,0.070053878,0.099356028,0.114998025,0.140280764,0.14521615,0.151689349,0.167255172,0.094734555,0.098124228,0.087957387,0.145265787,0.133681893,0.086726592,0.069129872,0.080515408,0.108986753,0.107179878,0.124611409,0.121965234,0.11010563,0.134591496,0.129483243
Server Machine/SMD-96-V-ROC,0.509025631,0.781538379,0.528506736,0.509755021,0.751260117,0.687578387,0.591519813,0.678176257,0.686808919,0.743623351,0.760418143,0.758115533,0.782289164,0.609381596,0.640658878,0.597185807,0.761322846,0.716031135,0.610234203,0.62358229,0.57801863,0.654562406,0.71079974,0.71243427,0.700051406,0.66125408,0.736492988,0.744961998
Space Weather/SWAN-96-A-P,0.396103268,0.623164925,0.535045017,0.334494794,0.45234245,0.364873768,0.540394057,0.403319046,0.499208632,0.463640239,0.441108713,0.484934738,0.601920447,0.514711778,0.646565329,0.517913632,0.430937872,0.764235415,0.789404707,0.597946821,0.326010867,0.543854892,0.453683557,0.497653875,0.51059702,0.470576286,0.45931625,0.449323044
Space Weather/SWAN-96-A-R,0.590401684,0.751668615,0.769239146,0.529128894,0.49851106,0.453336907,0.65179548,0.489906022,0.589354144,0.525131322,0.518159046,0.598880092,0.704461351,0.577084771,0.717576147,0.728975593,0.528167302,0.878262025,0.894461056,0.739518576,0.500024728,0.665586859,0.502521275,0.625909103,0.624053628,0.537678821,0.521247093,0.524078296
Space Weather/SWAN-96-Acc,0.559766667,0.692633333,0.666466667,0.582483333,0.664883333,0.542633333,0.588933333,0.687616667,0.693333333,0.668016667,0.6514,0.66285,0.690216667,0.6704,0.697033333,0.684383333,0.652233333,0.744733333,0.767333333,0.522216667,0.326033333,0.695783333,0.6669,0.68325,0.68755,0.678883333,0.668333333,0.65945
Space Weather/SWAN-96-Aff-F1,0.48170414,0.035627709,0.093257828,0.616386681,0.648085128,0.679442753,0.503159149,0.264700216,0.244981052,0.630568077,0.607252248,0.626753489,0.637729151,0.539888496,0.242684776,0.407175781,0.584977779,0.809840511,0.562509263,0.729191258,0.71049768,0.575162325,0.652815158,0.604497131,0.639099765,0.643592119,0.633055515,0.639522798
Space Weather/SWAN-96-Aff-P,0.555973281,0.614335187,0.466206883,0.543982169,0.662896673,0.563844807,0.524594884,0.885010369,0.940615577,0.649830206,0.615758084,0.650944152,0.688727281,0.594901899,0.942955915,0.607314196,0.60763754,0.712824329,0.861902022,0.589157923,0.550985965,0.62293422,0.668715273,0.64442754,0.683573953,0.686262118,0.671830364,0.647889613
Space Weather/SWAN-96-Aff-R,0.424939074,0.018345828,0.05181092,0.711024705,0.633921007,0.854663583,0.483406436,0.15562296,0.140829934,0.612415002,0.598978201,0.604296372,0.593762845,0.494188536,0.139263192,0.306251573,0.563947296,0.937425108,0.417489064,0.956547067,1,0.534195657,0.637653601,0.569226382,0.600059156,0.605917727,0.598512239,0.631369325
Space Weather/SWAN-96-F1,0.276011402,0.119629559,0.016802594,0.282103453,0.382823291,0.258925196,0.370591538,0.109130662,0.124726477,0.391693388,0.362433701,0.380902831,0.434340668,0.417393354,0.143839488,0.298655605,0.361075387,0.70433574,0.504226152,0.54884248,0.491716735,0.53037281,0.387608776,0.424457164,0.430649619,0.413467685,0.390243902,0.377934058
